090110520151205201513
036AUD001       5,330982       5,347023       5,363064
124CAD001       5,562285       5,579022       5,595759
203CZK001       0,275009       0,275837       0,276665
208DKK001       1,010131       1,013171       1,016211
348HUF100       2,477326       2,484780       2,492234
392JPY100       5,632104       5,649051       5,665998
578NOK001       0,892695       0,895381       0,898067
752SEK001       0,814391       0,816842       0,819293
756CHF001       7,250176       7,271992       7,293808
826GBP001      10,436117      10,467520      10,498923
840USD001       6,753882       6,774205       6,794528
978EUR001       7,538008       7,560690       7,583372
985PLN001       1,851635       1,857207       1,862779
